iter	RMSE
135	4066.902586
136	4056.583456
137	4051.160169
138	4044.118676
139	4037.457312
140	4028.505372
141	4025.787836
142	4019.550968
143	4017.518746
144	4013.698628
145	4011.655136
146	4002.142173
147	3999.150955
148	3989.577994
149	3985.253318
150	3980.004259
151	3979.577087
152	3976.214724
153	3969.145202
154	3964.40832
155	3959.629226
156	3956.852835
157	3949.387859
158	3941.235084
159	3936.614879
160	3932.482496
161	3929.352637
162	3925.322644
163	3921.021414
164	3915.011438
165	3911.627788
166	3908.74575
167	3905.797538
168	3901.498858
169	3898.570925
170	3892.276219
171	3889.812542
172	3887.808448
173	3885.494264
174	3882.840725
175	3879.623672
176	3872.30225
177	3863.852982
178	3860.969934
179	3857.457367
180	3853.221614
181	3847.622625
182	3842.334265
183	3839.989901
184	3834.622339
185	3828.199784
186	3825.65741
187	3819.291008
188	3817.752205
189	3812.884778
190	3807.341561
191	3799.620784
192	3796.507323
193	3791.467067
194	3785.874984
195	3781.858467
196	3778.941047
197	3776.694277
198	3773.709658
199	3768.482665
200	3763.362759
201	3758.609496
202	3756.451065
203	3751.858154
204	3746.006185
205	3743.982426
206	3740.525817
207	3739.48254
208	3736.806532
209	3733.866692
210	3731.394952
211	3727.239125
212	3724.477275
213	3721.070831
214	3719.950722
215	3714.621896
216	3713.531305
217	3711.473861
218	3707.558785
219	3704.081617
220	3699.109175
221	3694.525158
222	3690.561878
223	3688.965869
224	3686.096322
225	3679.672057
226	3677.369353
227	3674.92495
228	3671.185484
229	3669.684742
230	3666.09185
231	3661.340863
232	3655.961439
233	3653.342924
234	3650.436335
235	3649.500124
236	3647.953226
237	3643.403175
238	3642.07292
239	3639.114168
240	3637.239156
241	3635.354394
242	3634.034653
243	3632.307108
244	3630.622137
245	3626.331625
246	3618.23509
247	3615.46191
248	3612.673222
249	3609.111989
250	3603.047472
251	3601.226011
252	3599.233392
253	3597.48765
254	3593.451216
255	3590.080626
256	3587.612021
257	3585.486008
258	3583.768614
259	3582.119691
260	3577.926161
261	3574.070792
262	3572.120325
263	3570.461962
264	3568.814958
265	3565.565956
266	3562.181272
267	3558.127118
268	3556.533692
269	3555.043754
270	3550.996416
271	3548.411893
272	3547.214039
273	3543.353958
274	3540.958424
275	3533.64501
276	3527.500047
277	3525.974934
278	3524.543581
279	3520.573644
280	3516.509932
281	3513.280492
282	3511.76859
283	3509.949244
284	3508.174344
285	3506.44261
286	3501.483626
287	3499.79296
288	3498.427425
289	3494.754509
290	3493.417563
291	3489.942888
292	3485.85657
293	3483.961268
294	3481.862894
295	3478.417509
296	3477.102647
297	3474.998258
298	3471.150781
299	3467.288438
300	3461.670057
301	3459.184012
302	3457.893377
303	3452.180757
304	3450.621206
305	3449.377074
306	3448.157582
307	3444.875562
308	3443.679666
309	3439.994681
310	3438.821005
311	3437.670652
312	3436.542154
313	3433.249027
314	3429.583783
315	3426.377437
316	3425.239232
317	3423.519658
318	3420.997079
319	3417.000573
320	3415.327467
321	3413.31492
322	3411.944735
323	3410.873489
324	3409.557336
325	3406.915329
326	3402.694412
327	3401.410835
328	3398.62405
329	3395.72356
330	3390.817477
331	3387.249048
332	3386.233283
333	3384.895212
334	3379.9222
335	3375.701228
336	3374.719975
337	3373.752337
338	3372.809796
339	3369.246635
340	3367.096899
341	3363.152865
342	3359.035539
343	3358.107062
344	3354.92298
345	3353.860143
346	3350.257532
347	3347.437755
348	3346.526494
349	3342.720495
350	3339.477377
351	3337.158628
352	3335.951624
353	3335.133288
354	3333.090541
355	3330.196209
356	3327.823002
357	3326.372061
358	3325.489846
359	3324.195414
360	3321.81075
361	3320.553072
362	3319.680774
363	3317.40895
364	3316.558315
365	3314.404823
366	3312.211934
367	3308.007116
368	3305.308691
369	3303.829167
370	3300.767261
371	3296.986754
372	3296.163622
373	3295.357111
374	3292.404454
375	3290.100724
376	3289.267314
377	3287.162907
378	3286.386614
379	3282.395181
380	3278.471322
381	3275.623326
382	3274.874634
383	3274.140999
384	3272.066842
385	3270.033421
386	3267.137135
387	3262.34117
388	3257.933712
389	3255.170306
390	3252.943063
391	3249.283353
392	3245.696389
393	3244.988571
394	3244.296548
395	3243.41052
396	3241.892599
397	3240.451481
398	3237.816592
399	3236.43289
400	3231.653289
401	3230.199168
402	3223.95438
403	3221.586608
404	3218.273484
405	3215.739975
406	3209.820006
407	3208.225101
408	3204.362407
409	3198.754855
410	3196.782701
411	3194.908116
412	3190.528619
413	3188.892746
414	3183.119342
415	3181.355699
416	3180.600144
417	3180.094438
418	3177.791863
419	3173.65939
420	3171.735925
421	3171.056904
422	3168.000577
423	3163.598972
424	3160.22888
425	3157.046695
426	3155.321912
427	3153.764135
428	3149.835411
429	3144.795144
430	3142.025116
431	3141.101769
432	3137.551334
433	3132.768277
434	3130.543689
435	3127.464995
436	3124.881366
437	3122.475475
438	3120.606068
439	3117.361797
440	3114.265847
441	3111.706857
442	3107.030448
443	3106.415241
444	3104.710234
445	3101.590335
446	3098.065387
447	3096.390597
448	3094.24827
449	3092.993049
450	3090.850748
451	3089.388527
452	3084.77278
453	3081.67526
454	3080.166587
455	3079.326521
456	3076.702262
457	3075.121107
458	3072.852649
459	3069.876997
460	3067.590074
461	3066.156146
462	3062.072893
463	3058.709917
464	3055.925163
465	3052.702424
466	3051.011183
467	3049.44492
468	3048.045751
469	3046.168227
470	3042.294996
471	3041.460973
472	3040.78038
473	3039.398952
474	3037.541024
475	3035.590564
476	3033.688318
477	3030.697833
478	3027.456849
479	3024.373721
480	3019.441592
481	3017.434447
482	3016.079951
483	3014.763791
484	3013.567309
485	3011.075631
486	3008.524546
487	3005.831828
488	3004.532414
489	3001.402743
490	2997.229897
491	2996.513176
492	2993.509057
493	2990.665736
494	2985.95224
495	2983.166729
496	2981.947027
497	2980.770037
498	2976.636101
499	2974.525193
500	2971.527358
501	2969.705984
502	2967.638713
503	2963.80749
504	2963.335585
505	2962.883859
506	2961.708102
507	2960.396215
508	2959.789788
509	2957.36262
510	2955.709542
511	2954.049884
512	2953.34909
513	2952.187093
514	2949.15136
515	2946.81003
516	2944.044496
517	2943.285935
518	2938.986955
519	2937.698577
520	2936.660445
521	2935.454434
522	2931.879335
523	2929.916748
524	2929.094325
525	2927.105699
526	2925.592659
527	2923.893905
528	2923.285128
529	2920.353918
530	2917.736207
531	2916.035903
532	2914.229463
533	2909.955764
534	2907.451562
535	2904.574025
536	2903.256424
537	2901.428145
538	2899.719273
539	2898.688353
540	2895.646698
541	2893.93863
542	2891.098992
543	2888.688805
544	2886.71618
545	2886.065518
546	2885.58552
547	2885.122049
548	2883.157862
549	2879.227327
550	2877.793189
551	2877.11014
552	2874.247603
553	2873.768915
554	2871.895816
555	2870.838798
556	2868.94999
557	2867.417012
558	2865.926671
559	2864.335413
560	2862.23346
561	2860.468917
562	2859.710788
563	2858.81835
564	2857.297884
565	2854.870623
566	2851.437466
567	2848.216689
568	2847.163735
569	2843.77894
570	2842.142619
571	2839.860997
572	2837.714886
573	2835.225551
574	2832.615498
575	2831.213294
576	2829.382828
577	2828.95685
578	2828.01744
579	2826.071865
580	2824.047313
581	2823.330348
582	2822.740109
583	2821.733348
584	2819.705539
585	2818.068362
586	2816.519555
587	2811.941026
588	2810.966736
589	2808.888188
590	2806.989973
591	2805.54394
592	2803.880707
593	2802.497508
594	2801.441788
595	2798.87502
596	2797.592226
597	2796.373722
598	2795.641882
599	2792.087369
600	2791.239334
601	2790.004461
602	2789.334262
603	2787.664158
604	2786.671942
605	2784.806715
606	2782.939548
607	2781.177907
608	2779.005855
609	2777.725431
610	2776.005029
611	2772.497242
612	2771.553384
613	2770.035679
614	2768.485377
615	2765.53838
616	2764.225726
617	2763.306955
618	2762.089294
619	2760.421925
620	2760.037675
621	2758.333826
622	2755.027675
623	2753.773514
624	2752.060911
625	2750.003344
626	2748.365298
627	2746.637631
628	2745.070172
629	2742.915912
630	2741.792118
631	2739.620951
632	2738.237087
633	2735.301287
634	2734.96349
635	2733.309034
636	2731.938594
637	2731.042321
638	2729.990444
639	2728.861549
640	2728.201027
641	2726.720755
642	2723.961084
643	2722.255683
644	2721.22026
645	2719.203388
646	2718.280829
647	2716.788569
648	2714.415142
649	2712.751221
650	2711.264867
651	2709.813193
652	2708.250805
653	2704.026062
654	2703.1318
655	2701.722301
656	2699.697729
657	2698.810863
658	2697.901854
659	2696.675013
660	2694.711845
661	2694.13583
662	2693.559383
663	2691.348022
664	2690.516023
665	2689.136659
666	2686.883689
667	2684.495087
668	2683.087505
669	2682.240316
670	2680.824008
671	2679.999717
672	2678.634979
673	2675.903721
674	2673.170661
675	2671.586728
676	2670.541268
677	2668.177122
678	2667.374926
679	2665.275461
680	2663.727984
681	2662.819827
682	2662.314855
683	2658.972222
684	2657.085033
685	2655.955575
686	2653.408764
687	2651.307977
688	2650.183853
689	2649.361153
690	2647.836756
691	2646.541489
692	2644.228486
693	2642.128711
694	2640.142073
695	2638.643696
696	2636.406592
697	2634.354273
698	2632.861957
699	2632.001689
700	2627.892165
701	2625.724963
702	2622.564661
703	2621.575111
704	2619.400063
705	2618.680578
706	2617.911909
707	2617.007857
708	2615.654376
709	2614.507223
710	2613.759362
711	2612.973945
712	2612.277754
713	2611.513021
714	2610.276587
715	2607.425689
716	2606.155087
717	2605.636947
718	2605.328339
719	2603.961639
720	2601.318273
721	2599.737433
722	2596.454578
723	2595.16933
724	2592.877048
725	2591.582294
726	2589.473305
727	2587.465006
728	2586.088724
729	2585.507184
730	2584.484042
731	2582.489976
732	2581.47742
733	2580.353053
734	2578.63466
735	2576.477749
736	2575.183238
737	2573.709269
738	2573.302936
739	2571.824885
740	2570.628093
741	2569.145601
742	2567.954802
743	2567.036853
744	2564.134006
745	2561.371238
746	2559.335263
747	2557.243669
748	2555.813476
749	2555.381691
750	2553.270699
751	2551.545034
752	2550.439377
753	2549.334209
754	2547.906235
755	2545.809931
756	2543.625082
757	2542.693738
758	2541.156715
759	2540.146307
760	2539.293797
761	2536.508109
762	2534.531555
763	2532.057117
764	2529.994935
765	2528.166689
766	2526.434602
767	2524.240452
768	2522.483331
769	2521.557031
770	2521.091411
771	2520.090273
772	2518.43489
773	2517.117271
774	2514.980583
775	2512.364391
776	2510.504557
777	2508.71517
778	2507.653884
779	2503.503574
780	2502.345773
781	2501.923235
782	2500.111844
783	2498.835577
784	2498.190898
785	2497.148887
786	2495.095001
787	2493.422349
788	2492.590059
789	2491.613608
790	2490.307638
791	2489.416109
792	2487.449338
793	2486.797635
794	2485.836723
795	2485.717741
796	2483.772238
797	2482.372802
798	2481.634239
799	2480.40566
800	2479.373477
801	2477.62712
802	2476.551134
803	2475.525098
804	2473.568158
805	2472.95648
806	2471.388255
807	2470.178396
808	2468.59184
809	2465.074243
810	2463.063794
811	2462.074146
812	2459.787256
813	2458.965019
814	2457.680096
815	2457.0975
816	2455.438508
817	2454.730569
818	2453.140905
819	2451.172979
820	2450.825374
821	2448.844174
822	2446.933609
823	2445.953319
824	2442.692702
825	2442.215027
826	2441.971575
827	2440.426066
828	2439.038123
829	2438.32948
830	2437.064476
831	2433.511781
832	2432.10414
833	2430.526003
834	2428.779966
835	2427.12962
836	2426.101284
837	2423.453032
838	2422.65735
839	2421.974516
840	2421.236501
841	2419.771795
842	2419.207758
843	2418.06874
844	2416.410276
845	2414.200147
846	2413.443322
847	2412.112407
848	2408.849634
849	2408.248554
850	2406.980858
851	2405.443489
852	2403.715797
853	2403.359901
854	2400.982971
855	2399.534432
856	2398.805342
857	2398.252379
858	2397.891564
859	2396.603593
860	2394.162557
861	2393.213115
862	2392.238625
863	2391.934871
864	2390.290409
865	2389.370398
866	2387.241658
867	2385.490506
868	2383.671728
869	2382.50757
870	2381.805921
871	2379.142266
872	2378.506692
873	2378.024405
874	2376.924952
875	2375.886972
876	2375.31147
877	2374.114869
878	2372.25048
879	2370.466295
880	2368.654068
881	2366.82075
882	2365.28587
883	2363.684705
884	2362.550894
885	2359.588546
886	2358.231731
887	2357.400752
888	2356.662335
889	2355.802004
890	2354.370694
891	2354.240125
892	2353.293722
893	2351.812364
894	2351.220637
895	2351.048499
896	2350.405349
897	2346.747156
898	2343.25969
899	2342.335744
900	2340.906205
901	2339.488126
902	2339.122304
903	2338.065273
904	2336.279128
905	2334.080527
906	2333.312695
907	2332.519862
908	2330.850271
909	2329.306125
910	2327.866622
911	2326.802327
912	2326.143779
913	2326.009792
914	2325.367754
915	2325.044806
916	2323.421595
917	2322.923396
918	2322.511281
919	2321.723422
920	2321.13818
921	2319.624575
922	2316.592097
923	2314.829278
924	2313.684509
925	2312.959565
926	2312.243042
927	2311.313472
928	2308.284589
929	2307.129436
930	2306.954995
931	2306.616296
932	2306.109054
933	2304.64266
934	2303.517202
935	2302.926064
936	2302.241907
937	2301.590061
938	2300.89692
939	2300.06803
940	2298.583873
941	2295.952014
942	2295.099823
943	2294.076426
944	2291.333491
945	2291.195946
946	2290.487974
947	2289.473107
948	2287.155571
949	2285.77655
950	2284.165732
951	2283.268026
952	2282.696993
953	2281.775254
954	2280.951732
955	2280.831992
956	2280.70326
957	2279.835985
958	2278.972223
959	2277.930248
960	2277.437652
961	2276.938907
962	2276.660237
963	2275.556485
964	2274.827871
965	2274.676708
966	2273.257703
967	2272.152003
968	2271.629668
969	2269.953641
970	2269.315121
971	2268.790388
972	2267.705796
973	2266.637388
974	2265.874627
975	2264.652745
976	2263.3083
977	2261.146775
978	2260.502753
979	2259.463843
980	2258.459192
981	2258.190899
982	2256.863268
983	2255.944409
984	2255.839719
985	2252.945106
986	2250.669406
987	2249.285247
988	2248.674208
989	2248.10223
990	2245.283667
991	2244.794886
992	2244.288405
993	2242.128513
994	2240.950443
995	2240.568887
996	2240.187335
997	2239.699232
998	2239.01047
999	2237.022264
